rank,title,year,duration,imdb_rating,scraped_at
1,The Shawshank Redemption,1994,2h 22m,9.3,2025-11-21 22:55:02
2,The Godfather,1972,2h 55m,9.2,2025-11-21 22:55:02
3,The Dark Knight,2008,2h 32m,9.1,2025-11-21 22:55:02
4,The Godfather Part II,1974,3h 22m,9.0,2025-11-21 22:55:02
5,12 Angry Men,1957,1h 36m,9.0,2025-11-21 22:55:02
6,The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,2025-11-21 22:55:02
7,Schindler's List,1993,3h 15m,9.0,2025-11-21 22:55:02
8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,2025-11-21 22:55:02
9,Pulp Fiction,1994,2h 34m,8.8,2025-11-21 22:55:02
10,"The Good, the Bad and the Ugly",1966,2h 58m,8.8,2025-11-21 22:55:02
11,The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,2025-11-21 22:55:02
12,Forrest Gump,1994,2h 22m,8.8,2025-11-21 22:55:02
13,Fight Club,1999,2h 19m,8.8,2025-11-21 22:55:02
14,Inception,2010,2h 28m,8.8,2025-11-21 22:55:02
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,2025-11-21 22:55:02
16,The Matrix,1999,2h 16m,8.7,2025-11-21 22:55:02
17,Goodfellas,1990,2h 25m,8.7,2025-11-21 22:55:02
18,Interstellar,2014,2h 49m,8.7,2025-11-21 22:55:02
19,One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,2025-11-21 22:55:02
20,Se7en,1995,2h 7m,8.6,2025-11-21 22:55:02
21,It's a Wonderful Life,1946,2h 10m,8.6,2025-11-21 22:55:02
22,The Silence of the Lambs,1991,1h 58m,8.6,2025-11-21 22:55:02
23,Seven Samurai,1954,3h 27m,8.6,2025-11-21 22:55:02
24,Saving Private Ryan,1998,2h 49m,8.6,2025-11-21 22:55:02
25,The Green Mile,1999,3h 9m,8.6,2025-11-21 22:55:02
26,City of God,2002,2h 10m,8.6,2025-11-21 22:55:02
27,Life Is Beautiful,1997,1h 56m,8.6,2025-11-21 22:55:02
28,Terminator 2: Judgment Day,1991,2h 17m,8.6,2025-11-21 22:55:02
29,Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,2025-11-21 22:55:02
30,Back to the Future,1985,1h 56m,8.5,2025-11-21 22:55:02
31,Spirited Away,2001,2h 4m,8.6,2025-11-21 22:55:02
32,The Pianist,2002,2h 30m,8.5,2025-11-21 22:55:02
33,Gladiator,2000,2h 35m,8.5,2025-11-21 22:55:02
34,Parasite,2019,2h 12m,8.5,2025-11-21 22:55:02
35,Psycho,1960,1h 49m,8.5,2025-11-21 22:55:02
36,Grave of the Fireflies,1988,1h 28m,8.5,2025-11-21 22:55:02
37,The Lion King,1994,1h 28m,8.5,2025-11-21 22:55:02
38,Harakiri,1962,2h 13m,8.6,2025-11-21 22:55:02
39,The Departed,2006,2h 31m,8.5,2025-11-21 22:55:02
40,Whiplash,2014,1h 46m,8.5,2025-11-21 22:55:02
41,The Prestige,2006,2h 10m,8.5,2025-11-21 22:55:02
42,American History X,1998,1h 59m,8.5,2025-11-21 22:55:02
43,Léon: The Professional,1994,1h 50m,8.5,2025-11-21 22:55:02
44,Spider-Man: Across the Spider-Verse,2023,2h 20m,8.5,2025-11-21 22:55:02
45,Cinema Paradiso,1988,2h 54m,8.5,2025-11-21 22:55:02
46,Casablanca,1942,1h 42m,8.5,2025-11-21 22:55:02
47,The Intouchables,2011,1h 52m,8.5,2025-11-21 22:55:02
48,The Usual Suspects,1995,1h 46m,8.5,2025-11-21 22:55:02
49,Alien,1979,1h 57m,8.5,2025-11-21 22:55:02
50,Modern Times,1936,1h 27m,8.5,2025-11-21 22:55:02
51,Rear Window,1954,1h 52m,8.5,2025-11-21 22:55:02
52,Django Unchained,2012,2h 45m,8.5,2025-11-21 22:55:02
53,Once Upon a Time in the West,1968,2h 46m,8.5,2025-11-21 22:55:02
54,City Lights,1931,1h 27m,8.5,2025-11-21 22:55:02
55,Apocalypse Now,1979,2h 27m,8.4,2025-11-21 22:55:02
56,WALL·E,2008,1h 38m,8.4,2025-11-21 22:55:02
57,Memento,2000,1h 53m,8.4,2025-11-21 22:55:02
58,Dune: Part Two,2024,2h 46m,8.4,2025-11-21 22:55:02
59,Raiders of the Lost Ark,1981,1h 55m,8.4,2025-11-21 22:55:02
60,Avengers: Infinity War,2018,2h 29m,8.4,2025-11-21 22:55:02
61,The Lives of Others,2006,2h 17m,8.4,2025-11-21 22:55:02
62,Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,2025-11-21 22:55:02
63,Sunset Boulevard,1950,1h 50m,8.4,2025-11-21 22:55:02
64,Witness for the Prosecution,1957,1h 56m,8.4,2025-11-21 22:55:02
65,Paths of Glory,1957,1h 28m,8.4,2025-11-21 22:55:02
66,The Shining,1980,2h 26m,8.4,2025-11-21 22:55:02
67,The Great Dictator,1940,2h 5m,8.4,2025-11-21 22:55:02
68,Inglourious Basterds,2009,2h 33m,8.4,2025-11-21 22:55:02
69,Aliens,1986,2h 17m,8.4,2025-11-21 22:55:02
70,12th Fail,2023,2h 27m,8.7,2025-11-21 22:55:02
71,High and Low,1963,2h 23m,8.4,2025-11-21 22:55:02
72,The Dark Knight Rises,2012,2h 44m,8.4,2025-11-21 22:55:02
73,Coco,2017,1h 45m,8.4,2025-11-21 22:55:02
74,Avengers: Endgame,2019,3h 1m,8.4,2025-11-21 22:55:02
75,Amadeus,1984,2h 40m,8.4,2025-11-21 22:55:02
76,Good Will Hunting,1997,2h 6m,8.3,2025-11-21 22:55:02
77,Toy Story,1995,1h 21m,8.3,2025-11-21 22:55:02
78,Your Name.,2016,1h 46m,8.4,2025-11-21 22:55:02
79,Das Boot,1981,2h 29m,8.4,2025-11-21 22:55:02
80,Oldboy,2003,2h,8.3,2025-11-21 22:55:02
81,Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,8.3,2025-11-21 22:55:02
82,Braveheart,1995,2h 58m,8.3,2025-11-21 22:55:02
83,Princess Mononoke,1997,2h 13m,8.3,2025-11-21 22:55:02
84,American Beauty,1999,2h 2m,8.3,2025-11-21 22:55:02
85,3 Idiots,2009,2h 50m,8.4,2025-11-21 22:55:02
86,Capernaum,2018,2h 6m,8.4,2025-11-21 22:55:02
87,Joker,2019,2h 2m,8.3,2025-11-21 22:55:02
88,Once Upon a Time in America,1984,3h 49m,8.3,2025-11-21 22:55:02
89,Singin' in the Rain,1952,1h 43m,8.3,2025-11-21 22:55:02
90,Come and See,1985,2h 22m,8.3,2025-11-21 22:55:02
91,Requiem for a Dream,2000,1h 42m,8.3,2025-11-21 22:55:02
92,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,2025-11-21 22:55:02
93,Toy Story 3,2010,1h 43m,8.3,2025-11-21 22:55:02
94,The Hunt,2012,1h 55m,8.3,2025-11-21 22:55:02
95,Ikiru,1952,2h 23m,8.3,2025-11-21 22:55:02
96,Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,2025-11-21 22:55:02
97,Incendies,2010,2h 11m,8.3,2025-11-21 22:55:02
98,The Apartment,1960,2h 5m,8.3,2025-11-21 22:55:02
99,Lawrence of Arabia,1962,3h 47m,8.3,2025-11-21 22:55:02
100,2001: A Space Odyssey,1968,2h 29m,8.3,2025-11-21 22:55:02
101,Reservoir Dogs,1992,1h 39m,8.3,2025-11-21 22:55:02
102,Scarface,1983,2h 50m,8.3,2025-11-21 22:55:02
103,Heat,1995,2h 50m,8.3,2025-11-21 22:55:02
104,Double Indemnity,1944,1h 47m,8.3,2025-11-21 22:55:02
105,Up,2009,1h 36m,8.3,2025-11-21 22:55:02
106,North by Northwest,1959,2h 16m,8.3,2025-11-21 22:55:02
107,M,1931,1h 39m,8.3,2025-11-21 22:55:02
108,Full Metal Jacket,1987,1h 56m,8.2,2025-11-21 22:55:02
109,Citizen Kane,1941,1h 59m,8.2,2025-11-21 22:55:02
110,Like Stars on Earth,2007,2h 42m,8.3,2025-11-21 22:55:02
111,Vertigo,1958,2h 8m,8.2,2025-11-21 22:55:02
112,Amélie,2001,2h 2m,8.3,2025-11-21 22:55:02
113,A Separation,2011,2h 3m,8.3,2025-11-21 22:55:02
114,Die Hard,1988,2h 12m,8.2,2025-11-21 22:55:02
115,To Kill a Mockingbird,1962,2h 9m,8.3,2025-11-21 22:55:02
116,The Sting,1973,2h 9m,8.2,2025-11-21 22:55:02
117,Indiana Jones and the Last Crusade,1989,2h 7m,8.2,2025-11-21 22:55:02
118,A Clockwork Orange,1971,2h 16m,8.2,2025-11-21 22:55:02
119,Metropolis,1927,2h 33m,8.3,2025-11-21 22:55:02
120,Snatch,2000,1h 42m,8.2,2025-11-21 22:55:02
121,1917,2019,1h 59m,8.2,2025-11-21 22:55:02
122,Confidential,1997,2h 18m,8.2,2025-11-21 22:55:02
123,Oppenheimer,2023,3h,8.3,2025-11-21 22:55:02
124,Downfall,2004,2h 36m,8.2,2025-11-21 22:55:02
125,Bicycle Thieves,1948,1h 29m,8.2,2025-11-21 22:55:02
126,Dangal,2016,2h 41m,8.3,2025-11-21 22:55:02
127,The Wolf of Wall Street,2013,3h,8.2,2025-11-21 22:55:02
128,The Truman Show,1998,1h 43m,8.2,2025-11-21 22:55:02
129,Green Book,2018,2h 10m,8.2,2025-11-21 22:55:02
130,Hamilton,2020,2h 40m,8.3,2025-11-21 22:55:02
131,Batman Begins,2005,2h 20m,8.2,2025-11-21 22:55:02
132,Taxi Driver,1976,1h 54m,8.2,2025-11-21 22:55:02
133,Judgment at Nuremberg,1961,2h 59m,8.3,2025-11-21 22:55:02
134,Shutter Island,2010,2h 18m,8.2,2025-11-21 22:55:02
135,For a Few Dollars More,1965,2h 12m,8.2,2025-11-21 22:55:02
136,Some Like It Hot,1959,2h 1m,8.2,2025-11-21 22:55:02
137,Jurassic Park,1993,2h 7m,8.2,2025-11-21 22:55:02
138,There Will Be Blood,2007,2h 38m,8.2,2025-11-21 22:55:02
139,The Kid,1921,1h 8m,8.2,2025-11-21 22:55:02
140,The Father,2020,1h 37m,8.2,2025-11-21 22:55:02
141,All About Eve,1950,2h 18m,8.2,2025-11-21 22:55:02
142,The Sixth Sense,1999,1h 47m,8.2,2025-11-21 22:55:02
143,Ran,1985,2h 40m,8.2,2025-11-21 22:55:02
144,The Chaos Class Failed the Class,1975,1h 35m,8.6,2025-11-21 22:55:02
145,Casino,1995,2h 58m,8.2,2025-11-21 22:55:02
146,No Country for Old Men,2007,2h 2m,8.2,2025-11-21 22:55:02
147,The Thing,1982,1h 49m,8.2,2025-11-21 22:55:02
148,Top Gun: Maverick,2022,2h 10m,8.2,2025-11-21 22:55:02
149,Pan's Labyrinth,2006,1h 58m,8.2,2025-11-21 22:55:02
150,Unforgiven,1992,2h 10m,8.2,2025-11-21 22:55:02
151,Prisoners,2013,2h 33m,8.2,2025-11-21 22:55:02
152,1,2003,1h 51m,8.2,2025-11-21 22:55:02
153,A Beautiful Mind,2001,2h 15m,8.2,2025-11-21 22:55:02
154,The Treasure of the Sierra Madre,1948,2h 6m,8.2,2025-11-21 22:55:02
155,Howl's Moving Castle,2004,1h 59m,8.2,2025-11-21 22:55:02
156,Finding Nemo,2003,1h 40m,8.2,2025-11-21 22:55:02
157,Yojimbo,1961,1h 50m,8.2,2025-11-21 22:55:02
158,The Great Escape,1963,2h 52m,8.2,2025-11-21 22:55:02
159,The Best of Youth,2003,6h 14m,8.4,2025-11-21 22:55:02
160,Monty Python and the Holy Grail,1975,1h 31m,8.2,2025-11-21 22:55:02
161,The Elephant Man,1980,2h 4m,8.2,2025-11-21 22:55:02
162,Klaus,2019,1h 36m,8.2,2025-11-21 22:55:02
163,Dial M for Murder,1954,1h 45m,8.2,2025-11-21 22:55:02
164,Gone with the Wind,1939,3h 58m,8.2,2025-11-21 22:55:02
165,The Secret in Their Eyes,2009,2h 9m,8.2,2025-11-21 22:55:02
166,Chinatown,1974,2h 10m,8.1,2025-11-21 22:55:02
167,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,2025-11-21 22:55:02
168,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,2h 35m,8.5,2025-11-21 22:55:02
169,V for Vendetta,2005,2h 12m,8.1,2025-11-21 22:55:02
170,Rashomon,1950,1h 28m,8.1,2025-11-21 22:55:02
171,Inside Out,2015,1h 35m,8.1,2025-11-21 22:55:02
172,Catch Me If You Can,2002,2h 21m,8.1,2025-11-21 22:55:02
173,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,2025-11-21 22:55:02
174,Trainspotting,1996,1h 33m,8.1,2025-11-21 22:55:02
175,The Bridge on the River Kwai,1957,2h 41m,8.1,2025-11-21 22:55:02
176,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,2025-11-21 22:55:02
177,Raging Bull,1980,2h 9m,8.1,2025-11-21 22:55:02
178,Fargo,1996,1h 38m,8.1,2025-11-21 22:55:02
179,Warrior,2011,2h 20m,8.1,2025-11-21 22:55:02
180,The Wild Robot,2024,1h 42m,8.2,2025-11-21 22:55:02
181,Dead Poets Society,1989,2h 8m,8.1,2025-11-21 22:55:02
182,Million Dollar Baby,2004,2h 12m,8.1,2025-11-21 22:55:02
183,Barry Lyndon,1975,3h 5m,8.1,2025-11-21 22:55:02
184,Ben-Hur,1959,3h 32m,8.1,2025-11-21 22:55:02
185,Mad Max: Fury Road,2015,2h,8.1,2025-11-21 22:55:02
186,Gran Torino,2008,1h 56m,8.1,2025-11-21 22:55:02
187,My Neighbor Totoro,1988,1h 26m,8.1,2025-11-21 22:55:02
188,Children of Heaven,1997,1h 29m,8.2,2025-11-21 22:55:02
189,Hacksaw Ridge,2016,2h 19m,8.1,2025-11-21 22:55:02
190,The Grand Budapest Hotel,2014,1h 39m,8.1,2025-11-21 22:55:02
191,12 Years a Slave,2013,2h 14m,8.1,2025-11-21 22:55:02
192,Before Sunrise,1995,1h 41m,8.1,2025-11-21 22:55:02
193,Blade Runner,1982,1h 57m,8.1,2025-11-21 22:55:02
194,Memories of Murder,2003,2h 12m,8.1,2025-11-21 22:55:02
195,Spider-Man: No Way Home,2021,2h 28m,8.2,2025-11-21 22:55:02
196,Ratatouille,2007,1h 51m,8.1,2025-11-21 22:55:02
197,How to Train Your Dragon,2010,1h 38m,8.1,2025-11-21 22:55:02
198,Gone Girl,2014,2h 29m,8.1,2025-11-21 22:55:02
199,"Monsters, Inc.",2001,1h 32m,8.1,2025-11-21 22:55:02
200,Jaws,1975,2h 4m,8.1,2025-11-21 22:55:02
201,In the Name of the Father,1993,2h 13m,8.1,2025-11-21 22:55:02
202,Ford v Ferrari,2019,2h 32m,8.1,2025-11-21 22:55:02
203,Wild Tales,2014,2h 2m,8.1,2025-11-21 22:55:02
204,The Gold Rush,1925,1h 35m,8.1,2025-11-21 22:55:02
205,Sherlock Jr.,1924,45m,8.1,2025-11-21 22:55:02
206,Mary and Max,2009,1h 32m,8.1,2025-11-21 22:55:02
207,The Deer Hunter,1978,3h 3m,8.1,2025-11-21 22:55:02
208,The Wages of Fear,1953,2h 36m,8.1,2025-11-21 22:55:02
209,The General,1926,1h 18m,8.1,2025-11-21 22:55:02
210,Logan,2017,2h 17m,8.1,2025-11-21 22:55:02
211,Smith Goes to Washington,1939,2h 9m,8.1,2025-11-21 22:55:02
212,On the Waterfront,1954,1h 48m,8.1,2025-11-21 22:55:02
213,Rocky,1976,2h,8.1,2025-11-21 22:55:02
214,Tokyo Story,1953,2h 17m,8.1,2025-11-21 22:55:02
215,Wild Strawberries,1957,1h 32m,8.1,2025-11-21 22:55:02
216,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,2025-11-21 22:55:02
217,The Third Man,1949,1h 44m,8.1,2025-11-21 22:55:02
218,Maharaja,2024,2h 21m,8.3,2025-11-21 22:55:02
219,Spotlight,2015,2h 9m,8.1,2025-11-21 22:55:02
220,La haine,1995,1h 38m,8.1,2025-11-21 22:55:02
221,Jai Bhim,2021,2h 44m,8.6,2025-11-21 22:55:02
222,The Terminator,1984,1h 47m,8.1,2025-11-21 22:55:02
223,The Big Lebowski,1998,1h 57m,8.1,2025-11-21 22:55:02
224,The Seventh Seal,1957,1h 36m,8.1,2025-11-21 22:55:02
225,The Sound of Music,1965,2h 54m,8.1,2025-11-21 22:55:02
226,Room,2015,1h 58m,8.1,2025-11-21 22:55:02
227,The Best Years of Our Lives,1946,2h 50m,8.1,2025-11-21 22:55:02
228,Hotel Rwanda,2004,2h 1m,8.1,2025-11-21 22:55:02
229,Platoon,1986,2h,8.1,2025-11-21 22:55:02
230,A Silent Voice: The Movie,2016,2h 10m,8.2,2025-11-21 22:55:02
231,Before Sunset,2004,1h 20m,8.1,2025-11-21 22:55:02
232,The Incredibles,2004,1h 55m,8.0,2025-11-21 22:55:02
233,The Exorcist,1973,2h 2m,8.1,2025-11-21 22:55:02
234,Hachi: A Dog's Tale,2009,1h 33m,8.1,2025-11-21 22:55:02
235,Rush,2013,2h 3m,8.1,2025-11-21 22:55:02
236,The Wizard of Oz,1939,1h 42m,8.1,2025-11-21 22:55:02
237,The Passion of Joan of Arc,1928,1h 54m,8.1,2025-11-21 22:55:02
238,Stand by Me,1986,1h 29m,8.1,2025-11-21 22:55:02
239,The Iron Giant,1999,1h 26m,8.1,2025-11-21 22:55:02
240,My Father and My Son,2005,1h 52m,8.2,2025-11-21 22:55:02
241,The Battle of Algiers,1966,2h 1m,8.1,2025-11-21 22:55:02
242,The Handmaiden,2016,2h 25m,8.1,2025-11-21 22:55:02
243,Network,1976,2h 1m,8.1,2025-11-21 22:55:02
244,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,8.2,2025-11-21 22:55:02
245,Gangs of Wasseypur,2012,5h 21m,8.2,2025-11-21 22:55:02
246,The Grapes of Wrath,1940,2h 9m,8.1,2025-11-21 22:55:02
247,Drishyam,2015,2h 43m,8.2,2025-11-21 22:55:02
248,To Be or Not to Be,1942,1h 39m,8.1,2025-11-21 22:55:02
249,Autumn Sonata,1978,1h 39m,8.1,2025-11-21 22:55:02
250,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,1h 27m,8.4,2025-11-21 22:55:02
